Taxa Group;Family;InterestedGroup;Subfamily;Genus;Species;Taxa Original label in the French data-base;EnoUp_Pre1;EnoUp_Pre2;EnoUp_Pre3;EnoUp_Pre4;EnoUp_Pre5;EnoDown_Pre1;EnoDown_Pre2;EnoDown_Pre3;EnoDown_Pre4;EnoDown_Pre5;EnoUp_Post1;EnoUp_Post2;EnoUp_Post3;EnoUp_Post4;EnoUp_Post5;EnoDown_Post1;EnoDown_Post2;EnoDown_Post3;EnoDown_Post4;EnoDown_Post5;Taxa Original label in the French data-base;0.25cm;0.250.5cm;0.51cm;12cm;24cm;48cm;8cm;1year;more1year;less1;1year;more1;egg;larva;nymph;adult;ovoviviparity;isolated eggs free;isolated eggs cemented;clutches cemented or fixed;clutches free;clutches in vegetation;clutches terrestrial;asexual reproduction;aquatic passive;aquatic active;aerial passive;aerial active;eggs statoblasts;cocoons;housings against desiccation;diapause or dormancy;none;microorganisms;detritus less 1mm;dead plant more 1mm;living microphytes;living macrophytes;dead animal more 1mm;living microinvertebrates;living macroinvertebrates;vertebrates;absorber;deposit feeder;shredder;scraper;filter-feeder;piercer;predator;parasite;tegument;gill;plastron;spiracle;hydrostatic vesicle;cold less 15C;warm more 15C;eurythermic;less 4;more 4-4.5;more 4.5-5;more 5-5.5;more 5.5-6;more 6;oligotrophic;mesotrophic;eutrophic;xenosaprobic;oligosaprobic;b-mesosaprobic;a-mesosaprobic;polysaprobic;freshwater;brackish water;2  Pyrenees;4  Alps;8  Vosges Jura Massif Central;13a  lowlands oceanic;13b  lowlands mediterranean;lowlands;piedmont level;alpine level;crenon;epirithron;metarithron;hyporithron;epipotamon;metapotamon;estuary;outside river system;river channel;banks connected side-arms;ponds pools disconnected side-arms;marshes peat bogs;temporary waters;lakes;groundwaters;flagsboulderscobblespebbles;gravel;sand;silt;macrophytes;microphytes;twigsroots;organic detrituslitter;mud;flier;surface swimmer;full water swimmer;crawler;burrower;interstitial;temporarily attached;permanently attached;null;slow less 25 cms;medium 25-50 cmlesss;fast more 50 cms
Porifera;SPONGILLIDAE;SPONGILLIDAE;[Fam:SPONGILLIDAE];Spongilla;lacustris;Spongilla lacustris;;;;;;;;;;;;;;;;;;;;;Spongilla lacustris;0;0;0;0;3;2;1;3;0;0;3;0;3;3;0;3;3;0;0;0;0;0;0;3;3;0;0;0;3;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;1;3;0;1;1;2;2;3;1;2;0;;0;3;0;0;3;1;2;2;2;2;0;3;1;0;0;0;0;1;1;1;0;3;1;3;1;0;0;3;0;4;2;0;0;1;0;2;0;1;0;0;1;0;0;0;0;3;3;2;1;0
Porifera;SPONGILLIDAE;SPONGILLIDAE;[Fam:SPONGILLIDAE];Trochospongilla;horrida;Trochospongilla horrida;;;;;;;;;;;;;;;;;;;;;Trochospongilla horrida;0;0;0;0;3;2;1;3;0;0;3;0;3;3;0;3;3;0;0;0;0;0;0;3;3;0;0;0;3;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;1;3;0;0;0;2;3;3;3;0;0;0;0;3;0;0;3;0;1;1;1;1;0;3;0;0;0;0;0;0;0;0;0;3;1;3;1;0;0;3;0;3;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;3;3;2;1;0
Porifera;SPONGILLIDAE;SPONGILLIDAE;[Fam:SPONGILLIDAE];Heteromyenia;baileyi;Heteromyenia baileyi;;;;;;;;;;;;;;;;;;;;;Heteromyenia baileyi;0;0;0;0;2;1;1;3;0;0;3;0;3;3;0;3;3;0;0;0;0;0;0;3;3;0;0;0;3;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;1;3;0;0;0;2;3;3;3;0;0;0;0;3;0;0;3;0;1;1;1;1;0;3;0;0;0;0;0;0;0;0;0;3;1;3;1;0;0;3;0;3;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;3;3;2;1;0
Porifera;SPONGILLIDAE;SPONGILLIDAE;[Fam:SPONGILLIDAE];Ephydatia;sp.;Ephydatia;;;;;;;;;;;;;;;;;;;;;Ephydatia;0;0;0;1;3;1;1;3;0;0;3;0;3;3;0;3;3;0;0;0;0;0;0;3;3;0;0;0;3;0;0;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;3;3;0;0;0;0;2;3;1;3;2;0;0;3;1;0;3;3;2;2;2;2;0;3;0;0;1;0;0;0;0;0;0;3;1;3;1;0;0;3;0;1;0;0;0;3;0;2;0;0;0;0;1;0;0;0;0;3;3;2;1;0
Coelenterata;HYDRIDAE;HYDRIDAE;[Fam:HYDRIDAE];Hydra;sp.;Hydra sl;;;;;;;;;;;;;;;;;;;;;Hydra sl;0;0;3;2;1;0;0;0;3;0;3;0;3;3;0;3;0;0;0;2;0;0;0;3;3;1;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;3;0;3;0;0;0;0;0;3;3;0;0;0;0;0;3;3;0;0;0;3;0;0;0;3;1;2;2;2;2;0;3;0;0;0;0;1;1;1;1;0;1;0;4;3;0;0;2;0;3;0;0;0;5;0;3;0;0;0;1;0;0;0;0;3;0;0;3;0;0
Coelenterata;CLAVIDAE;CLAVIDAE;[Fam:CLAVIDAE];Cordylophora;caspia;Cordylophora caspia;;;;;;;;;;;;;;;;;;;;;Cordylophora caspia;0;0;0;0;3;1;0;3;0;0;3;0;3;3;0;3;0;0;0;2;0;0;0;3;3;1;0;0;3;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;3;3;0;0;0;0;0;3;0;3;0;0;0;3;0;0;2;3;0;0;0;3;0;3;0;0;0;0;0;0;0;2;2;0;1;3;0;0;0;0;0;3;0;0;0;3;0;3;0;0;0;0;1;0;0;0;0;3;3;3;0;0
Coelenterata;HYDRIDAE;HYDRIDAE;[Fam:HYDRIDAE];Microhydra;sowerbyi;Craspedacusta sowerbii;;;;;;;;;;;;;;;;;;;;;Craspedacusta sowerbii;0;0;0;3;0;0;0;3;0;0;3;0;0;0;0;3;0;3;0;0;0;0;0;3;3;1;0;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;3;3;0;0;0;0;0;3;0;3;0;0;0;3;0;0;3;0;0;3;3;3;0;3;0;0;0;0;0;0;0;0;0;3;1;0;3;0;0;3;0;0;0;0;0;2;0;0;2;0;0;0;3;0;0;0;2;0;3;0;0;0
Bryozoa;BARENTSIIDAE;Bryozoa;[Fam:BARENTSIIDAE];Urnatella ;gracilis;Urnatella gracilis;;;;;;;;;;;;;;;;;;;;;Urnatella gracilis;0;3;0;0;0;0;0;3;0;3;0;0;3;3;0;3;3;0;0;0;0;0;0;3;3;1;0;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;3;2;0;0;0;0;1;3;0;3;0;0;0;3;0;0;2;1;0;0;0;3;0;3;0;0;0;0;0;0;1;1;0;3;0;3;0;0;0;2;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;3;3;2;1;0
Bryozoa;PALUDICELLIDAE;Bryozoa;[Fam:PALUDICELLIDAE];Paludicella;articulata;Paludicella articulata;;;;;;;;;;;;;;;;;;;;;Paludicella articulata;3;0;0;0;0;0;0;3;0;3;0;0;3;3;0;3;3;0;0;0;0;0;0;3;3;1;0;0;3;0;0;0;0;0;1;0;3;0;0;3;0;0;0;0;0;0;3;0;0;0;3;0;0;0;0;1;0;3;0;0;0;0;0;3;1;2;0;0;3;2;0;0;3;2;1;1;3;3;0;3;0;0;0;1;1;1;1;1;0;1;2;3;1;0;0;3;0;3;0;0;0;1;0;3;1;1;0;0;1;0;0;0;0;3;2;3;2;1
Bryozoa;FREDERICELLIDAE;Bryozoa;[Fam:FREDERICELLIDAE];Fredericella;sultana;Fredericella sultana;;;;;;;;;;;;;;;;;;;;;Fredericella sultana;0;0;0;0;3;1;0;3;0;3;0;0;3;3;0;3;3;0;0;0;0;0;0;3;3;1;0;0;3;0;0;0;0;0;1;0;3;0;0;3;0;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;1;3;1;2;1;0;2;3;0;0;3;1;3;3;3;3;0;3;2;1;0;0;0;1;3;2;0;2;0;3;2;0;0;4;0;4;0;1;0;2;0;4;0;2;0;0;1;0;0;0;0;3;2;3;1;0
